ex_dividend_date,yfinance_amount,declaration_date,record_date,payment_date,alphavantage_amount,_merge,amount_difference
2023-03-16,0.46,2023-02-16,2023-03-17,2023-04-03,0.46,both,0.0
2023-06-15,0.46,2023-04-26,2023-06-16,2023-07-03,0.46,both,0.0
2023-09-14,0.46,2023-07-19,2023-09-15,2023-10-02,0.46,both,0.0
2023-11-30,0.46,2023-10-19,2023-12-01,2023-12-15,0.46,both,0.0
2024-03-14,0.485,2024-02-15,2024-03-15,2024-04-01,0.485,both,0.0
2024-06-14,0.485,2024-05-02,2024-06-14,2024-07-01,0.485,both,0.0
2024-09-13,0.485,2024-07-29,2024-09-13,2024-10-01,0.485,both,0.0
2024-11-29,0.485,2024-10-17,2024-11-29,2024-12-16,0.485,both,0.0
2025-03-14,0.51,2025-02-20,2025-03-14,2025-04-01,0.51,both,0.0
2025-06-13,0.51,2025-05-01,2025-06-13,2025-07-01,0.51,both,0.0
2025-09-15,0.51,2025-07-17,2025-09-15,2025-10-01,0.51,both,0.0
2025-12-01,0.51,2025-10-16,2025-12-01,2025-12-15,0.51,both,0.0
